DATE;TIME_FROM;TIME_TO;RZSALDO_AFRR_50HERTZ_POS_OP_[MW];RZSALDO_AFRR_50HERTZ_NEG_OP_[MW];RZSALDO_AFRR_50HERTZ_POS_QA_[MW];RZSALDO_AFRR_50HERTZ_NEG_QA_[MW];RZSALDO_AFRR_TRANSNETBW_POS_OP_[MW];RZSALDO_AFRR_TRANSNETBW_NEG_OP_[MW];RZSALDO_AFRR_TRANSNETBW_POS_QA_[MW];RZSALDO_AFRR_TRANSNETBW_NEG_QA_[MW];RZSALDO_AFRR_TENNET_POS_OP_[MW];RZSALDO_AFRR_TENNET_NEG_OP_[MW];RZSALDO_AFRR_TENNET_POS_QA_[MW];RZSALDO_AFRR_TENNET_NEG_QA_[MW];RZSALDO_AFRR_AMPRION_POS_OP_[MW];RZSALDO_AFRR_AMPRION_NEG_OP_[MW];RZSALDO_AFRR_AMPRION_POS_QA_[MW];RZSALDO_AFRR_AMPRION_NEG_QA_[MW];50HZ_mFRR_ACT_POS_OP_PT15M;50HZ_mFRR_ACT_NEG_OP_PT15M;50HZ_mFRR_ACT_POS_QA_PT15M;50HZ_mFRR_ACT_NEG_QA_PT15M;TRANSNETBW_mFRR_ACT_POS_OP_PT15M;TRANSNETBW_mFRR_ACT_NEG_OP_PT15M;TRANSNETBW_mFRR_ACT_POS_QA_PT15M;TRANSNETBW_mFRR_ACT_NEG_QA_PT15M;TENNET_mFRR_ACT_POS_OP_PT15M;TENNET_mFRR_ACT_NEG_OP_PT15M;TENNET_mFRR_ACT_POS_QA_PT15M;TENNET_mFRR_ACT_NEG_QA_PT15M;AMPRION_mFRR_ACT_POS_OP_PT15M;AMPRION_mFRR_ACT_NEG_OP_PT15M;AMPRION_mFRR_ACT_POS_QA_PT15M;AMPRION_mFRR_ACT_NEG_QA_PT15M
01.01.2021;00:00;00:15;0,000;27,245;0,116;27,524;18,092;46,097;19,072;46,636;9,710;15,714;9,756;16,956;0,000;46,036;0,260;46,160;0,000;0,000;0,000;0,000;0,000;0,000;n/a;n/a;0,000;0,000;0,000;0,000;0,000;0,000;n/a;n/a
01.01.2021;00:15;00:30;0,000;0,858;0,148;1,004;34,840;3,941;35,248;4,500;13,878;2,873;13,952;4,268;0,000;1,897;0,112;2,020;0,000;0,000;0,000;0,000;0,000;0,000;n/a;n/a;0,000;0,000;0,000;0,000;0,000;0,000;n/a;n/a
01.01.2021;00:30;00:45;0,000;0,831;0,144;0,976;0,612;0,755;1,072;1,192;1,106;2,876;1,112;3,960;0,106;2,671;0,392;2,652;0,000;0,000;0,000;0,000;0,000;0,000;n/a;n/a;0,000;0,000;0,000;0,000;0,000;0,000;n/a;n/a
01.01.2021;00:45;01:00;0,000;7,657;0,132;7,776;0,220;31,289;0,680;31,776;0,381;3,174;0,368;4,280;0,000;6,650;0,280;6,884;0,000;0,000;0,000;0,000;0,000;0,000;n/a;n/a;0,000;0,000;0,000;0,000;0,000;0,000;n/a;n/a
01.01.2021;01:00;01:15;0,043;0,716;0,300;0,988;179,247;0,380;179,968;0,856;32,655;2,860;33,052;4,096;0,256;2,123;1,084;2,740;0,000;0,000;0,000;0,000;0,000;0,000;n/a;n/a;0,000;0,000;0,000;0,000;0,000;0,000;n/a;n/a
01.01.2021;01:15;01:30;0,000;0,726;0,196;0,924;75,728;0,142;76,472;1,020;31,338;3,013;31,504;4,280;1,054;1,260;2,068;2,288;0,000;0,000;0,000;0,000;0,000;0,000;n/a;n/a;0,000;0,000;0,000;0,000;0,000;0,000;n/a;n/a
01.01.2021;01:30;01:45;0,000;0,926;0,196;1,124;32,472;3,345;33,180;3,996;22,651;3,261;22,780;4,412;0,699;1,140;1,976;2,072;0,000;0,000;0,000;0,000;0,000;0,000;n/a;n/a;0,000;0,000;0,000;0,000;0,000;0,000;n/a;n/a
01.01.2021;01:45;02:00;0,000;4,636;0,200;4,820;1,660;16,247;2,048;16,920;3,243;3,628;3,232;4,500;0,000;7,147;0,064;7,408;0,000;0,000;0,000;0,000;0,000;0,000;n/a;n/a;0,000;0,000;0,000;0,000;0,000;0,000;n/a;n/a
01.01.2021;02:00;02:15;0,000;2,479;0,216;2,688;5,284;7,396;5,996;7,892;16,210;3,042;16,252;3,928;0,000;10,864;0,192;10,892;0,000;0,000;0,000;0,000;0,000;0,000;n/a;n/a;0,000;0,000;0,000;0,000;0,000;0,000;n/a;n/a
01.01.2021;02:15;02:30;0,000;17,196;0,176;17,332;0,147;31,849;0,660;32,604;2,059;4,020;2,040;4,760;0,000;29,392;0,120;29,592;0,000;0,000;0,000;0,000;0,000;0,000;n/a;n/a;0,000;0,000;0,000;0,000;0,000;0,000;n/a;n/a
