,region,variable,mean,ratio_var,ratio_load
HR_CTY_scheduled_gen_total,HR CTY,scheduled_gen_total,1459.4261024965251,0.008071676050237678,0.0072687740847536516
PL_CTY_solar_day_ahead,PL CTY,solar_day_ahead,438.9888858321871,0.04873027453232843,0.0021864149417181464
PT_CTY_wind_off_day_ahead,PT CTY,wind_off_day_ahead,5.268215698004619,0.0028159949968432573,2.623871785837099e-05
HR_CTY_wind_on_day_ahead,HR CTY,wind_on_day_ahead,201.7259595884097,0.011502781824643041,0.0010047102931556523
HR_CTY_solar_day_ahead,HR CTY,solar_day_ahead,9.945536537359544,0.0011040113804204625,4.9534442420939054e-05
IT_CTY_wind_on_day_ahead,IT CTY,wind_on_day_ahead,2271.794397493203,0.12954185647761388,0.01131483136702802
